l2_regularization,learning_rate,max_bins,max_leaf_nodes,min_samples_leaf,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
68.3975170402368,0.05144181606952421,186,45,2,0.8580059756373025,0.005888577335310075,1,0.8752815598624515,0.0013287045920002544
2.255487972842832e-06,0.5164563165542229,173,8,71,0.8571868804311766,0.00795286646684181,2,0.8991605728910542,0.001738722540959401
2.6635076212360456e-05,0.8638352763585522,116,6,8,0.8470515140604619,0.0023703573877656894,3,0.8836255905660739,0.011246835402417164
111.1492759574446,0.06513233274410829,13,245,10,0.8383495774026365,0.004130370092359246,4,0.8523239011430344,0.00053440099887799
2.9644352194353942,0.14267571232663084,202,2,1,0.833743221592794,0.004122852728120236,5,0.8354831797055041,0.001976162320205273
51.18426848466112,0.01555281859341231,11,116,6,0.8205371784531159,0.006790910424310541,6,0.8263461860620266,0.001012337673065996
0.6197152620653047,0.5415699265289751,14,41,37,0.819614995380175,0.010482617127220444,7,0.9645782222992969,0.0013694792184004924
8.51859897277593e-05,0.20349515398091392,4,13,29,0.8112205928364677,0.00495533616614479,8,0.8354064435751176,0.0019603887470992947
4.524897194431903e-06,0.14414616142036796,5,157,2,0.8045659487202063,0.006761416748333617,9,0.9325859764803596,0.0024154740821292924
217.8010423589836,0.4471722616711295,3,135,23,0.8020063613651622,0.0027292372089414373,10,0.8190519894652395,0.0010886714452524786
123.42480311920517,0.08677850005862485,2,13,11,0.7979121431427701,0.00369203911989845,11,0.8021857908463919,0.001909091444628516
0.0002841654565097395,0.813286884364446,27,42,2,0.7951463800540962,0.01669957636517327,12,0.9257535329160499,0.033894351644394596
34.55046326779027,1.9572184224256484,8,21,29,0.7930995067819449,0.005098390667517531,13,0.8465396999758132,0.0016153532712696165
0.051896811156275695,0.014000609236081676,8,5,3,0.7856263963636764,0.0028209713666356114,14,0.7872901387194694,0.0006668179867983595
0.6989941750548057,0.012202776629794378,3,3,1,0.7709870807371385,0.005473894478815687,15,0.7711658766251365,0.004134305180484366
8.526993677057654e-05,9.074319183837204,8,158,6,0.7541951835378058,0.01595688634721222,16,0.7562458674089405,0.02405870568321631
17.379137271226057,3.8468371527047545,5,73,2,0.7423206876437635,0.014942492961867117,17,0.7915137863843642,0.026361957964871237
1.6473853600528497e-05,3.045896825989444,3,70,5,0.5483188082686217,0.1793253286579402,18,0.5561279236817752,0.18604094879958202
4.092075731128092e-05,3.379181022463611,48,21,5,0.38546754566499014,0.16711791826117592,19,0.3813406977747668,0.16899436231526094
0.0016900314684437103,9.30244618049516,15,8,1,0.3662184152559561,0.14708361210411328,20,0.3599449222575881,0.14972964860807725
