n_neighbors,with_std,with_mean,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
1,False,False,111.0697072577592,1.761325873191742,19,-0.0,0.0
1,False,True,111.0697072577592,1.761325873191742,19,-0.0,0.0
2,False,False,98.88945420852593,1.8662229987497587,18,54.86782728823512,0.2730056266532895
4,False,False,93.36568476836158,1.415308161075866,17,70.76152971022984,0.4027213412904757
1000,False,True,91.54368950214749,1.7152601737135789,16,91.44920513001473,0.6477002564430461
100,False,False,90.56424765098835,1.776135071329239,15,89.99107246789228,0.7332304427775144
46,False,True,90.21242103675345,1.8716716164165985,13,88.63124923877307,0.6568683842115832
46,False,False,90.21242103675345,1.8716716164165985,13,88.63124923877307,0.6568683842115832
21,False,False,90.0923569152193,1.4951388579653369,11,85.92721982060459,0.5154977200995234
21,False,True,90.0923569152193,1.4951388579653369,11,85.92721982060459,0.5154977200995234
1000,True,False,75.11381558680402,2.0749442874524755,10,75.0263599255826,0.5634540282914438
215,True,False,60.312267449079,2.1797555547698395,9,59.82368631508594,0.7225020351815256
1,True,False,57.489936419399804,0.7832687464937078,7,-0.0,0.0
1,True,True,57.489936419399804,0.7832687464937078,7,-0.0,0.0
100,True,False,54.837468656297595,2.0228818826530546,6,54.012875311143816,0.8028577926513476
2,True,False,52.04745971795436,1.459266284599993,4,28.60924798176428,0.8291717515271838
2,True,True,52.04745971795436,1.459266284599993,4,28.60924798176428,0.8291717515271838
46,True,True,50.98080923763585,1.978925047826953,3,49.74993495574269,1.0193822266608998
4,True,True,48.009622747743784,1.9496113621308357,2,36.890124292426925,1.3349292086244793
10,True,False,47.43704740826179,2.3346107862928367,1,42.6549801021427,1.1590948191702362
