param_learning_rate,param_max_depth,param_max_leaf_nodes,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
1.0,16,62,41.29133251907885,0.7136454028535173,27,28.207679813319384,0.6649873562842642
1.0,8,62,41.21016746469574,0.1691526786731989,26,27.86909892423583,0.747847983470337
1.0,16,31,38.96064077127609,0.5591503913004459,25,29.199528521834395,0.9725036675399238
1.0,8,31,38.836471520195246,0.5509296166676394,24,29.563581593184892,1.2604718985993508
1.0,16,15,37.45823766193687,0.6908615011375475,23,30.73652684783363,0.7327636278673604
1.0,8,15,37.32051686185274,0.8725101124336746,22,30.013123046673606,0.9321881779442472
0.1,3,62,37.05425658971665,0.9386068982540101,21,35.586720848407445,0.18953552762843207
0.1,3,15,36.833694905727,0.9111814195515053,20,35.4096228128699,0.1878845771599749
0.1,3,31,36.79565101986321,0.8811579831439904,19,35.347907096393065,0.22700463585696973
1.0,3,15,35.96528600260012,0.8697845731876132,18,31.16571614920008,0.9033390810802517
1.0,3,31,35.825752760327205,0.5417934152914573,17,31.06361462712281,1.1767949249974843
1.0,3,62,35.812080825389195,0.5795186350931993,16,31.18012557026372,0.5945388233992704
0.5,8,62,34.59293676911906,0.8268267146002848,15,23.16228897722331,1.8674797061864263
0.5,16,62,34.44222012588121,0.48607500151102406,14,23.197147271364567,1.2455432637620478
0.5,8,15,34.05209236648485,0.6785033803006453,13,27.665076529392866,1.1705833264977648
0.5,3,62,33.89314325770067,0.9565870107468116,12,30.33015208364781,0.5282641723148842
0.5,8,31,33.851747041743394,0.7191707948590633,11,24.643335005704206,2.1375799595005724
0.5,3,31,33.751728746757536,0.759479981392019,10,30.203585419707103,0.31026544981502613
0.5,16,31,33.74559984053765,0.6163899379857902,9,24.35071071628832,1.2259216275677713
0.5,3,15,33.7437891263684,0.47946925506915955,8,30.328597278701807,0.8248050696044353
0.1,8,15,33.66007873970507,0.7890321176810993,7,30.938479205670042,0.1415825240128735
0.5,16,15,33.597215233687095,0.49204736685495415,6,26.6670285256581,1.6202479777767316
0.1,16,15,33.395477019264206,0.7438887803465611,5,30.787825569857738,0.12337808758173713
0.1,8,31,32.15992166902177,0.6326898032347061,4,27.260750702549206,0.12935783721478275
0.1,16,31,31.967589031287634,0.5944610919008283,3,27.040690199951268,0.516818150212231
0.1,8,62,31.43946748115352,0.8711566480287627,2,24.105429484126294,0.16033433372929592
0.1,16,62,30.90736963484674,0.6862936826199401,1,22.68700961158502,0.05982598429888724
