learning_rate,max_leaf_nodes,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
0.1,10,0.8587223587223587,0.001228501228501211,1,0.882985257985258,0.0011261261261261146
0.1,30,0.8567772317772318,0.002764127764127766,2,0.9314086814086814,0.001433251433251459
1.0,3,0.8506347256347256,0.00010237510237509628,3,0.8865683865683865,0.00020475020475019257
0.1,3,0.8474610974610974,0.0016380016380016515,4,0.8537059787059786,0.0015356265356264998
0.01,30,0.8424447174447174,0.0005118755118755369,5,0.8507371007371007,0.002866502866502918
1.0,10,0.8332309582309583,0.0021498771498771885,6,0.8813472563472564,0.014230139230139216
0.01,10,0.8133701883701884,0.0015356265356265553,7,0.8137796887796888,0.00030712530712528885
0.01,3,0.7892096642096642,0.0011261261261261701,8,0.7901310401310402,0.0010237510237510183
1.0,30,0.7807125307125307,0.05139230139230139,9,0.8838042588042587,0.11619574119574122
10.0,30,0.5941850941850941,0.10135135135135137,10,0.5792383292383292,0.08947583947583945
10.0,10,0.4799344799344799,0.25552825552825553,11,0.4822891072891073,0.25276412776412777
10.0,3,0.2882882882882883,0.007166257166257184,12,0.2882882882882883,0.007166257166257184
